"id","cau_hoi","A","B","C","D","dap_an","giai_thich"
"1","When _____ in international trade, letters of credit are very convenient.","using","are used","used","they used","C","Giản lược chủ ngữ thể bị động, câu đầy đủ là When letters of credit are used in international trade they are very convenient. Tạm dịch: Khi được sử dụng trong thương mại quốc tế thư tín dụng rất thuận tiện."
"2","The 26th Annual Meeting of the Asia-Pacific Parliamentary Forum (APPF) _____ in Hanoi from January 18th to 21st 2018.","was held","is held","is being held","will be held","A","Thì quá khứ đơn diễn tả sự việc đã xảy ra tại một thời điểm được xác định trong quá khứ. Cấu trúc bị động của thì quá khứ đơn: S + was/were + VP2. Tạm dịch: Cuộc họp thường niên lần thứ 26 của APPF đã được tổ chức tại Hà Nội từ ngày 18 đến 21 tháng 1 năm 2018."
"3","We were made _____ hard when we were at school.","to study","study","studying","studied","A","To be made to do sth: bị bắt/bị ép làm gì. Cần phân biệt với cấu trúc make sb/sth do sth: khiến/bắt ai/cái gì làm gì. Tạm dịch: Chúng tôi bị bắt học chăm chỉ khi còn ở trường."
"4","Her fiance is said _____ from Harvard University five years ago.","having graduated","to have graduated","being graduated","to be graduated","B","Trong câu này động từ chính ở hiện tại và trong câu có five years ago nên động từ trong mệnh đề ở thì quá khứ. Công thức: S + am/is/are + said + to + have + Vp2. Tạm dịch: Hôn phu của cô ấy được cho là đã tốt nghiệp Đại học Harvard năm năm trước."
"5","Only one of our gifted students _____ to participate in the final competition.","was choosing","chosen","has been chosen","have been chosen","C","Động từ chia theo chủ ngữ số ít (only one of...) và ở dạng bị động -> chỉ có C là đúng. Tạm dịch: Chỉ một trong số những học sinh tài năng của chúng tôi là được chọn để tham gia vào cuộc thi cuối cùng."
"6","They cancelled all flights because of fog.","All flights were cancelled by them of fog.","All flights were because of fog were cancelled.","All flights were because of fog cancelled.","All flights were cancelled because of fog.","D","Câu đề bài: Họ hoãn tất cả các chuyến bay vì sương mù. Câu này chỉ đơn giản viết về câu bị động - bị động quá khứ đơn."
"7","This building _____ finished by the end of last year but there have been so many strikes that it isn't finished yet.","will have been","should have been","was to have been","may not have been","B","should + have PP: nên đã phải làm gì (nhưng thực tế là đã không làm). Bị động: Should + have been + Vp2. Tạm dịch: Toà nhà này đáng lẽ đã nên hoàn tất vào cuối năm ngoái nhưng có rất nhiều cuộc đình công khiến nó vẫn chưa hoàn thành."
"8","As a small boy, he was used to _____ alone in the house for an hour or two.","being left","leaving","be left","leave","A","be used to + V-ing: quen với việc làm gì. Về nghĩa của câu thì ta dùng ở dạng bị động sẽ phù hợp hơn. Tạm dịch: Là một cậu bé nhỏ tuổi cậu đã quen bị bỏ lại một mình ở nhà trong một hoặc hai giờ đồng hồ."
"9","DNA tests _____ accepted in court cases.","are known","were used","have been","will have","C","Cấu trúc câu bị động ở thì hiện tại hoàn thành: have/has been + Vp2. Tạm dịch: Kiểm tra DNA đã được chấp nhận ở các trường hợp trên phiên toà."
"10","Ann hoped _____ to join the private club. She could make important business contact here.","being invited","to invite","to be invited","inviting","C","Theo ngữ cảnh ở đây ta cần dùng động từ ở thể bị động: (hope) to be invited. Tạm dịch: Ann hi vọng được mời tham gia câu lạc bộ tư nhân. Cô ấy có thể có được liên hệ kinh doanh quan trọng ở đây."
"11","Despite their normal cylindrical form, some of the documents _____ on silk that were found at Mawangdui were folded into rectangles.","wrote","written","were written","be written","B","Ta dùng quá khứ phân từ để tạo mệnh đề quan hệ rút gọn đối với dạng bị động. Trong câu này written được hiểu là which were written. Tạm dịch: Dù cho các chiếu thư thường có dạng hình trụ nhưng một số chiếu thư được tìm thấy ở Mawangdui lại có dạng hình chữ nhật."
"12","The boy _____ by the teacher yesterday.","punished","was punished","punish","punishing","B","Câu bị động trong quá khứ. Tạm dịch: Cậu bé đã bị giáo viên phạt ngày hôm qua."
"13","Robots will even _____ everywhere in factories, schools, offices, hospitals, shops, and homes.","seen","see","saw","be seen","D","Will + V nguyên thể -> Loại A và C. Chủ ngữ là vật (robots) -> trong câu sử dụng dạng bị động. Đáp án là will be seen. Tạm dịch: Robot thậm chí sẽ được nhìn thấy ở mọi nơi như nhà máy trường học văn phòng bệnh viện cửa hàng và trong gia đình."
"14","We don't allow anyone to use their cell phones during the examination.","Nobody is allowed to use their cell phones during the examination.","Nobody is allowed using their cell phones during the examination.","Nobody isn't allowed to use their cell phones during the examination.","Nobody isn't allowed using their cell phones during the examination.","A","Allow + to V: cho phép làm gì. Không ai được phép sử dụng điện thoại di động của họ trong thời gian kiểm tra."
"15","Everyone likes _____ when they have got some success.","to be congratulated","being congratulated","to be congratulating","to congratulate","B","Like + V-ing: thích làm gì -> Like + being + Vp2: thích được làm gì. Tạm dịch: Mọi người đều thích được chúc mừng khi họ đạt được thành công."
"16","This is the latest news from earthquake site. Two-thirds of the city _____ in a fire.","has been destroyed","have been destroyed","were destroyed","was destroyed","A","Ở đây ta dùng thì hiện tại hoàn thành. Với những chủ ngữ chỉ phân số/phần trăm -> ta dựa vào danh từ sau of để chia động từ (the city -> số ít -> has). Tạm dịch: Đây là tin tức mới nhất từ nơi động đất. Hai phần ba thành phố đã bị phá huỷ trong lửa."
"17","References _____ in the examination room.","not are used","is not used","didn't used","are not used","D","Đây là câu bị động ở thì hiện tại đơn. Công thức: S + to be (am/is/are) + V-ed/Vp2. References là danh từ số nhiều nên ta dùng are. Tạm dịch: Tài liệu không được sử dụng trong phòng thi."
"18","Her watch needs _____.","repairing","to be repaired","repaired","repairing/ to be repaired","D","sth needs doing = sth needs to be done. Tạm dịch: Đồng hồ của cô ấy cần được sửa."
"19","There's somebody behind us. I think we are _____.","being followed","are followed","follow","following","A","Đây là câu bị động ở thì hiện tại tiếp diễn. Công thức: S + to be (am/is/are) + being + V-ed/Vp2. we dùng to be là are. Tạm dịch: Có ai đó phía sau chúng ta. Tôi nghĩ là chúng ta đang bị theo dõi."
"20","Have you _____ by a dog?","bite","bit","ever been bitten","ever been bit","C","Đây là câu bị động ở thì hiện tại hoàn thành. Công thức: S + has/have been + V-ed/Vp2. Tạm dịch: Có phải bạn bị chó cắn không?"
"21","The room is being _____ at the moment.","was cleaned","cleaned","cleaning","clean","B","Đây là câu bị động ở thì hiện tại tiếp diễn. Công thức: S + tobe (am/is/are) + being + V-ed/Vp2. Tạm dịch: Căn phòng đang được dọn bây giờ."
"22","It _____ that the strike will end soon.","is expected","expected","are expected","was expected","A","Bị động của động từ nêu ý kiến: It is expected that + S + V."
"23","I'll get Minh _____ this for you.","do","done","did","to do","D","Đây là câu bị động ở dạng đặc biệt. Công thức: Get sb to do sth -> Get sth done: nhờ ai đó làm việc gì. Tạm dịch: Tôi sẽ nhờ Minh làm nó cho bạn."
"24","Those letters _____ now. You can do the typing later.","need typing","needn't be typed","need to type","needn't typing","B","Đây là câu bị động với động từ khuyết thiếu. Công thức: S + Modal verb + be + V-ed/Vp2 (+ by O). Tạm dịch: Những lá thư này không cần phải được đánh máy bây giờ. Đánh máy sau cũng được."
"25","Thanks, it _____ especially for me by a French tailor.","is made","has made","made","was made","D","Đây là câu bị động ở thì quá khứ đơn. Công thức: S + to be (was/were) + V-ed/Vp2. It là ngôi thứ ba số ít nên ta dùng was. Tạm dịch: Chiếc váy được thiết kế đặc biệt cho tôi bởi một thợ may người Pháp."
