id,tu_vung,tu_loai,phien_am,nghia
1,Adolescent,n,/ˌædəˈlesənt/,"thanh niên"
2,Preadolescent,n,/ˌpriːˌædəˈlesənt/,"vị thành niên"
3,Betray,v,/bɪˈtreɪ/,"phản bội"
4,Cognitive,a,/ˈkɒgnətɪv/,"thuộc về nhận thức"
5,Commiserate,v,/kəˈmɪzəreɪt/,"thương hại"
6,Conflict,n,/ˈkɒnflɪkt/,"cuộc xung đột"
7,Conservative,a,/kənˈsɜːvətɪv/,"bảo thủ"
8,Constant,a,/ˈkɒnstənt/,"bền lòng, kiên trì"
9,Constancy,n,/ˈkɒnstənsi/,"sự kiên trì"
10,Contactable,a,/kənˈtæktəbəl/,"có thể liên lạc được"
11,Counsellor,n,/ˈkaʊnsələr/,"hội đồng"
12,Critical-thinking,a,/ˌkrɪtɪkəl ˈθɪŋkɪŋ/,"tư duy phản biện"
13,Debate,n,/dɪˈbeɪt/,"cuộc tranh luận"
14,Deceive,v,/dɪˈsiːv/,"lừa gạt, lừa dối"
15,Delinquency,n,/dɪˈlɪŋkwənsi/,"sự phạm tội, phạm pháp"
16,Discrimination,n,/dɪˌskrɪmɪˈneɪʃən/,"sự phân biệt, sự tách bạch"
17,Ego-centrism,n,/ˌiːgəʊˈsentrɪ zəm/,"tự cho mình là trung tâm"
18,Etiquette,n,/ˈetɪket/,"nghi thức"
19,Faith,n,/feɪθ/,"sự tin tưởng, niềm tin"
20,Faithful,a,/ˈfeɪθfəl/,"tin tưởng"
21,Fashionably,adv,/ˈfæʃənəbli/,"một cách hợp thời trang"
22,Flashily,adv,/ˈflæʃəli/,"hào nhoáng, lòe loẹt"
23,Favor,n,/ˈfeɪvər/,"sự yêu thích"
24,Favorite,a,/ˈfeɪvərɪt/,"yêu thích"
25,Favorable,a,/ˈfeɪvərəbəl/,"thuận lợi"
26,Favorably,adv,/ˈfeɪvərəbəli/,"một cách thuận tiện"
27,Foe,n,/fəʊ/,"kẻ thù"
28,Honesty,n,/ˈɒnəsti/,"tính trung thực"
29,Honest,a,/ˈɒnɪst/,"trung thực"
30,Dishonest,a,/dɪsˈɒnɪst/,"không trung thực"
31,Hospitable,a,/hɒsˈpɪtəbəl/,"hiếu khách"
32,Hospitality,n,/ˌhɒspɪˈtæləti/,"lòng hiếu khách"
33,Hypocrisy,n,/hɪˈpɒkrɪsi/,"đạo đức giả"
34,Idealism,n,/aɪˈdɪəlɪzəm/,"chủ nghĩa duy tâm"
35,Inconsistency,n,/ˌɪnkənˈsɪstənsi/,"tính không nhất quán"
36,Judgmental,a,/dʒʌdʒˈmentəl/,"vội phán xét"
37,Juvenile,a,/ˈdʒuːvənaɪl/,"(thuộc) thanh thiếu niên"
38,Long-lasting,a,/ˌlɒŋˈlɑːstɪŋ/,"kéo dài"
39,Lovey-dovey,a,/ˈlʌviˌdʌvi/,"yêu thương, âu yếm"
40,Loyalty,n,/ˈlɔɪəlti/,"sự trung thành"
41,Loyal,a,/ˈlɔɪəl/,"trung thành"
42,Luxuriantly,adv,/lʌgˈʒʊəriəntli/,"một cách phồn thịnh"
43,Mature,a,/məˈtʃʊər/,"chính chắn, trưởng thành"
44,Mock,v,/mɒk/,"chế nhạo"
45,Monotonous,a,/məˈnɒtənəs/,"đơn điệu"
46,Mutual,a,/ˈmjuːtʃuəl/,"chung, tương hỗ"
47,Ostentatiously,adv,/ˌɒstenˈteɪʃəsli/,"phô trương, khoe khoang"
48,Plainly,adv,/ˈpleɪnli/,"một cách rõ ràng"
49,Soberly,adv,/ˈsəʊbəli/,"đúng mực, chính chắn"
50,Pregnancy,n,/ˈpregnənsi/,"sự mang thai"
51,Puberty,n,/ˈpjuːbəti/,"tuổi dậy thì"
52,Selfish,a,/ˈselfɪʃ/,"ích kỉ"
53,Selfishness,n,/ˈselfɪʃnəs/,"sự ích kỉ"
54,Self-supporting,a,/ˌselfsəˈpɔːtɪŋ/,"tự trang trải"
55,Self-confident,a,/ˌselfˈkɒnfɪdənt/,"tự tin"
56,Self-confessed,a,/ˌselfkənˈfest/,"tự thú, tự nhận"
57,Self-determining,a,/ˌselfdɪˈtɜːmɪnɪŋ/,"tự quyết"
58,Sincerity,n,/sɪnˈserəti/,"sự chân thành"
59,Sincere,a,/sɪnˈsɪər/,"chân thành"
60,Spouse,n,/spaʊs/,"vợ chồng"
61,Suspicion,n,/səˈspɪʃən/,"sự nghi ngờ"
62,Suspicious,a,/səˈspɪʃəs/,"nghi ngờ"
63,Sympathy,n,/ˈsɪmpəθi/,"sự đồng cảm"
64,Sympathize,v,/ˈsɪmpəθaɪz/,"đồng cảm"
65,Sympathetic,a,/ˌsɪmpəˈθetɪk/,"biết thông cảm, đồng cảm"
66,Tease,v,/tiːz/,"chọc ghẹo, trêu chọc"
67,Tolerate,v,/ˈtɒləreɪt/,"tha thứ, chịu đựng"
68,Tolerant,a,/ˈtɒlərənt/,"biết tha thứ"
69,Tolerance,n,/ˈtɒlərəns/,"sự tha thứ"
70,Tolerable,a,/ˈtɒlərəbəl/,"có thể tha thứ"
71,Ultra-sensitive,a,/ˈʌltrə ˈsensɪtɪv/,"cực kì nhạy cảm"
72,Vivid,a,/ˈvɪvɪd/,"chói lọi, sặc sỡ"
73,Vividly,adv,/ˈvɪvɪdli/,"một cách chói lọi, sặc sỡ"
74,Vividness,n,/ˈvɪvɪdnəs/,"sự chói lọi, sự sặc sỡ"
75,Well-being,n,/ˌwelˈbiːɪŋ/,"trạng thái hạnh phúc"
